Ingredient_id,Name,category,category_2,servings_per_container,serving_size,serving_size_unit,is_organic,nutrition_facts_unit,Brand,calories_per_serving,carbohydrates_per_serving,dietary_fiber,sugar_per_serving,added_sugar_per_serving,added_sugar,protein_per_serving,polyunsaturated_fat_per_serving,monounsaturated_fat_per_unit,saturated_fat,total_fat,Cholesterol,sodium_per_serving,created_at,updated_at,price_per_container,price_per_serving,ingredients
1,goodles_mac(vegan_is_believin),Box Mac,Pasta,2,2.6,oz,0,G,goodles,260,49,7,3,0,0,12,0,0,0,3.5,0,0.53,2/20/2024,2/20/2024,4.79,2.395,"Wheat Flour, Chickpea Protein, Wheat Protein, Nutrients Extracted from: , Organic Broccoli, Organic Spinach, Organic Kale, Organic Pumpkin, Organic Sweet Potato, Organic Sunflower Seeds, Organic Cranberry, Organic Chlorella, Organic Maitake Mushroom, Organic Shiitake Mushroom), Vegan White Cheddar (Dried Cashew Milk, Cashews, Chicory Root Fiber, Natural Flavor, Nutritional Yeast, Tapioca Maltodextrin, Salt, Tapioca Flour, Pea Protein, Lactic Acid, Dried Apple Cider Vinegar, Garlic"
2,2%_milk,Milk,Dairy,4,1,cups,0,g,Clover Sonoma,140,13,0,13,0,0,10,0,0,3,5,0.02,0.14,2/20/2024,2/20/2024,2.80,0.7,"Milk, Nonfat Milk, Vitamin A Palmitate, Vitamin D3"
3,probiotic_greek_nonfat_yogurt,Greek Yogurtt,Dairy,4,6,oz,1,g,Nancy’s,120,8,0,7,0,0,22,0,0,0,0,0,0.055,2/20/2024,2/20/2024,7.99,1.9975,"ORGANIC PASTEURIZED WHOLE MILK, ORGANIC PASTEURIZED NONFAT MILK, ORGANIC CREAM, LIVE YOGURT CULTURES: S. THERMOPHILUS, L. BULGARICUS. LIVE PROBIOTIC CULTURES: BIFIDOBACTERIUM LACTIS BB-12, L."
4,raspberries,Raspberry,Fruit,24,12,oz,1,g,Driscoll’s,32,7,4,2.7,0,0,0.74,0.231,0.039,0.01,0.4,0,0.0062,2/20/2024,2/20/2024,8.5,0.354166666666667,raspberries
5,almond_butter,Almond Butter,Nut Butter,14,2,tbsp,1,g,365 by Whole Foods Market,190,7,3,2,0,0,7,4,11,1.5,17,0,0,2/20/2024,2/20/2024,9.99,0.713571428571429,"Green lid, unsalted, unsweetened, Organic Dry Roasted Almonds."
6,maple_syrup,Maple Syrup,Sweetener,8,2,tbsp,0,g,Butternut Mountain Farm Vermont,110,27,0,24,24,1,0,0,0,0,0,0,0.005,2/20/2024,2/20/2024,8.49,1.06125,Pure Maple Syrup
7,local_nor_cal_honey,Honey,Sweetener,22,1,tbsp,0,g,Local Hive,60,17,0,16,0,0,0,0,0,0,0,0,0,2/20/2024,2/20/2024,9.17,0.416818181818182,Honey
8,oats,Old Fashioned Rolled Oats,Oats,18,0.5,cups,1,g,Bob’s Red Mill,190,35,5,1,0,0,5,0,0,0.5,3.5,0,0,2/20/2024,2/20/2024,8.29,0.460555555555556,Organic Whole Grain Oats.
9,olive_oil,Olive Oil,Oil,67,1,tbsp,1,g,Terra Delyssa,120,0,0,0,0,0,0,0,0,2.7,14,0,0,2/20/2024,2/20/2024,25.49,0.38044776119403,Organic Extra Virgin Olive Oil
10,hemp_seed_hearts,Hemp Seeds,Seeds,8,3,tbsp,0,g,Bob’s Red Mill,160,3,3,1,0,0,10,9,1.5,1,12,0,0,2/20/2024,2/20/2024,12.65,1.58125,Hulled Hemp Seeds
11,avocado_oil,Avocado Oil,Oil,33,1,tbsp,0,g,365 by Whole Foods Market,130,0,0,0,0,0,0,2,10,2,14,0,0,2/20/2024,2/20/2024,11.99,0.363333333333333,expeller pressed refined avocado oil.
12,walnuts,Walnuts,Nuts,16,0.25,cups,0,g,365 by Whole Foods Market,190,4,2,0.7,0,0,4,13,2.5,1.5,18,0,0,2/20/2024,2/20/2024,10.29,0.643125,Walnuts Allergens Tree Nuts
13,cinnamon,Cinnamon,Seasoning,77,0.25,tsp,1,g,Morton & Basset,0,0,0,0,0,0,0,0,0,0,0,0,0,2/20/2024,2/20/2024,9.29,0.120649350649351,
14,kosher_salt,Salt,Seasoning,1942,0.25,tsp,0,g,Diamond Crystal,0,0,0,0,0,0,0,0,0,0,0,0,0.28,2/20/2024,2/20/2024,10,0.00514933058702369,
15,vanilla_extract,Vanilla Extract,Sweetener,24,1,tsp,0,,McCormick,12,0.53,,0.53,0,0,0,0,0,0,0,0,0,2/20/2024,2/20/2024,4.59,0.19125,Madagascar beans
16,chicken_breast,Chicken Breast,Poultry,2,4,oz,1,g,365 by Whole Foods Market,130,0,0,0,0,0,25,0,0,0.5,3,0.08,0.05,2/21/2024,2/21/2024,8.49,4.245,Organic Boneless and Skinless Chicken Breasts
17,onion_powder,Onion Powder,Seasoning,14.5,1,tsp,0,g,McCormick,8.3,1.9,0.14,0.85,0,0,0.24,0,0,0,0,0,1.3,2/21/2024,2/21/2024,4.39,0.302758620689655,Onion Powder
18,garlic_powder,Garlic Powder,Seasoning,11.16,1,tsp,0,g,365 by Whole Foods Market,10,2.3,0,0,0,0,0.5,0,0,0,0,0,0.0019,2/21/2024,2/21/2024,3.79,0.339605734767025,Garlic Powder
19,butter,Butter,Fat,32,1,tbsp,1,g,Clover Sonoma,100,0,0,0,0,0,0,0,0,7,11,0.03,0,2/21/2024,2/21/2024,10.99,0.3434375,"Organic Pasteurized Cream (Milk), Lactic Acid, Culture Distillates"
20,black_pepper,Pepper,Seasoning,44.9,1,tsp,0,g,365 by Whole Foods Market,5.8,1.5,0.6,0,0,0,0.2,0,0,0,0,0,0.0005,2/21/2024,2/21/2024,8.69,0.193541202672606,Black Peppercorns.
,crunchy_maple_almond_walnut_granola,Granola,Granola,12,0.25,cups,0,g,Homemade,110.997222222223,11.2133333333333,1.87625,0.739222222222223,0.25,0.0104166666666667,2.52680555555556,2.305,2.13958333333333,0.715347222222223,6.17791666666667,0,0.0233854166666667,2/21/2024,2/21/2024,5.14,0.428333333333333,"8, 12, 10, 13, 14, 11, 5, 6, 15"
21,crunchy_maple_almond_walnut_granola,Granola,Granola,12,0.25,cups,0,g,Homemade,0,0,0,0,0,0,0,0,0,0,0,0,0,2/21/2024,2/21/2024,5.14,0.428333333333333,"8, 12, 10, 13, 14, 11, 5, 6, 15"
